transaction_id,rep_id,sale_date,sale_amount
1,1,2024-01-05,14259
2,1,2024-02-19,16971
3,1,2024-02-17,29957
4,1,2024-02-21,10209
5,1,2024-01-28,15951
6,1,2024-03-12,14092
7,1,2024-02-24,12722
8,1,2024-02-24,13286
9,1,2024-03-24,26880
10,1,2024-01-25,17756
11,1,2024-01-12,19061
12,1,2024-02-20,18615
13,2,2024-01-27,10960
14,2,2024-02-17,12313
15,2,2024-01-17,5196
16,2,2024-01-10,11162
17,2,2024-03-16,23424
18,2,2024-01-20,29094
19,2,2024-01-01,8130
20,2,2024-01-20,29389
21,2,2024-02-17,22748
22,2,2024-01-09,15312
23,2,2024-03-24,25354
24,2,2024-03-07,11318
25,3,2024-03-26,5726
26,3,2024-02-23,15734
27,3,2024-03-12,5597
28,3,2024-02-01,14050
29,3,2024-03-18,8584
30,3,2024-03-10,26393
31,3,2024-03-23,9384
32,3,2024-02-09,17904
33,3,2024-02-22,18246
34,3,2024-02-05,16767
35,3,2024-01-13,10576
36,3,2024-03-06,15823
37,4,2024-03-13,7338
38,4,2024-02-09,5708
39,4,2024-02-24,27667
40,4,2024-01-15,25422
41,4,2024-02-03,10859
42,4,2024-03-01,8695
43,4,2024-03-03,15427
44,4,2024-03-01,9233
45,4,2024-02-05,26159
46,4,2024-01-09,15174
47,4,2024-02-03,23818
48,4,2024-01-05,16337
49,5,2024-03-20,12940
50,5,2024-01-10,19306
51,5,2024-02-25,21920
52,5,2024-03-02,21202
53,5,2024-03-01,17798
54,5,2024-01-09,14989
55,5,2024-01-03,5820
56,5,2024-01-24,22641
57,5,2024-01-02,10845
58,5,2024-01-02,29937
59,5,2024-01-21,14011
60,5,2024-03-28,10829
61,6,2024-01-13,14336
62,6,2024-02-09,28661
63,6,2024-03-21,20005
64,6,2024-03-03,6815
65,6,2024-01-12,23212
66,6,2024-02-08,7427
67,6,2024-03-26,9959
68,6,2024-03-21,5785
69,6,2024-03-25,15986
70,6,2024-01-01,22860
71,6,2024-03-19,28074
72,6,2024-02-21,7578
73,7,2024-01-16,21548
74,7,2024-03-02,9256
75,7,2024-01-09,28680
76,7,2024-03-17,5731
77,7,2024-01-24,9056
78,7,2024-03-25,22674
79,7,2024-02-24,19541
80,7,2024-02-18,29795
81,7,2024-03-27,19507
82,7,2024-03-25,18544
83,7,2024-02-21,27104
84,7,2024-02-09,23302
85,8,2024-03-12,25986
86,8,2024-01-09,14605
87,8,2024-03-27,17424
88,8,2024-01-10,11397
89,8,2024-01-05,24493
90,8,2024-02-15,23343
91,8,2024-03-05,22104
92,8,2024-03-18,21311
93,8,2024-02-19,18484
94,8,2024-02-24,18490
95,8,2024-02-10,27358
96,8,2024-03-07,29198
97,9,2024-03-12,18112
98,9,2024-02-10,11346
99,9,2024-02-02,6912
100,9,2024-02-17,7609
101,9,2024-02-05,16182
102,9,2024-02-26,10852
103,9,2024-03-21,10666
104,9,2024-03-22,9589
105,9,2024-01-12,8082
106,9,2024-02-22,27336
107,9,2024-02-13,26784
108,9,2024-02-18,7162
109,10,2024-01-05,27868
110,10,2024-03-19,13334
111,10,2024-03-01,7434
112,10,2024-03-09,13799
113,10,2024-03-03,15274
114,10,2024-02-13,17592
115,10,2024-01-25,17865
116,10,2024-01-25,7944
117,10,2024-01-12,20505
118,10,2024-02-10,13801
119,10,2024-02-27,26980
120,10,2024-02-08,6626
